variant,battery,seed,re,mae,rmse,best_metric,re_weight,baseline_re,baseline_mae,baseline_rmse,hard_priority,all_three_improved,val_re,val_mae,val_rmse,val_composite,val_count,best_epoch,best_select_value,lr,feature_size,hidden_dim,num_experts,eol_state_dim,eol_gamma_init,eol_correction_scale,eol_loss_weight,eol_loss_band,epochs,eval_interval
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_35,0,0.006968641114982578,0.031318627727192516,0.043196527592278246,hard,0.05,0.0732,0.0533,0.0716,all,True,0.16941914507301303,0.07863409467104357,0.10331483652755545,0.19041988845224966,3,200,0.0025721899755708757,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_36,0,0.08854166666666667,0.08278525703721276,0.11408110872673485,hard,0.05,0.0732,0.0533,0.0716,all,False,0.23953546800309422,0.08298274802552776,0.09922814275917276,0.19418766418485525,3,100,4.01006827450127,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_37,0,0.14285714285714285,0.07944939706804013,0.10507848835892639,hard,0.05,0.0732,0.0533,0.0716,all,False,0.13804556375395685,0.07383938547612086,0.09519469831030673,0.1759363619741254,3,250,4.011729354370464,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_38,0,0.0703012912482066,0.0409740159265377,0.04964874889777366,hard,0.05,0.0732,0.0533,0.0716,all,True,0.14229053748870824,0.07778293226068854,0.10435219987461797,0.1892496590097419,3,150,0.0048451233949680355,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_35,1,0.012195121951219513,0.03157939869052688,0.04212257152841538,hard,0.05,0.0732,0.0533,0.0716,all,True,0.15894361667649837,0.07682431658265236,0.10087075486205543,0.1856422522785327,3,250,0.0026947762524503318,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_36,1,0.013888888888888888,0.038495832234746036,0.05647128764538705,hard,0.05,0.0732,0.0533,0.0716,all,True,0.19868891695151703,0.09216167413756478,0.11511950006138354,0.21721562004652417,3,150,0.003401384626991566,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_37,1,0.1827956989247312,0.09785864108220511,0.12738881239864744,hard,0.05,0.0732,0.0533,0.0716,all,False,0.1191034848898909,0.06644872375850121,0.08963705144291041,0.16204094944590616,3,200,4.015337138132685,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_38,1,0.07604017216642754,0.04155714707720874,0.050108538420656566,hard,0.05,0.0732,0.0533,0.0716,all,False,0.14842367797717915,0.08234795242101632,0.10902193819643512,0.1987910745163104,3,400,2.005075447962843,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_35,2,0.006968641114982578,0.031762921196238324,0.04351399683960614,hard,0.05,0.0732,0.0533,0.0716,all,True,0.15836681840320707,0.07531073275138202,0.09964002374211067,0.18286909741365306,3,250,0.002597729256370724,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_36,2,0.1388888888888889,0.08053542360927952,0.12501344596843023,hard,0.05,0.0732,0.0533,0.0716,all,False,0.1102681303310729,0.05347490860358736,0.06733652470029142,0.12632483982043244,3,150,4.012463111795533,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
