seed,test_re_mean,test_mae_mean,test_rmse_mean,test_composite_mean,all_three_improved_count,num_rows,val_re_mean,val_mae_mean,val_rmse_mean,val_composite_mean,robust_selected,robust_rule
0,0.1110512510799903,0.07642223212726199,0.08905329330178986,0.17102808798305139,3,4,0.27248989250113825,0.08809617026924464,0.10029522558664442,0.20201589048094598,True,topk:val_re_mean:k=4
1,0.25802116407202,0.08210264073102806,0.0940047931022744,0.18900849203690345,1,4,0.37941493093935924,0.0669934068812259,0.07623317155307718,0.16219732498127104,False,topk:val_re_mean:k=4
2,0.2020901884015716,0.0643401055487493,0.07233412970477247,0.14677874467360036,2,4,0.2652752724850689,0.08803878865546651,0.09580464511504287,0.19710719739476285,True,topk:val_re_mean:k=4
3,0.17444414541128273,0.0591526972895336,0.06653041245749548,0.13440531701759323,2,4,0.2623671749874424,0.08784768521889398,0.09694561321843975,0.19791165718670586,True,topk:val_re_mean:k=4
4,0.2893087367878071,0.08282522229413769,0.0932144304524907,0.19050508958601875,1,4,0.29029535042592647,0.06417441982108105,0.07331556668253662,0.15200475402491398,True,topk:val_re_mean:k=4
