seed,test_re_mean,test_mae_mean,test_rmse_mean,test_composite_mean,all_three_improved_count,num_rows,val_re_mean,val_mae_mean,val_rmse_mean,val_composite_mean,robust_selected,robust_rule
0,0.07716718547174968,0.05863182443974578,0.07800121839392828,0.14049140210726155,2,4,0.17232267857969308,0.07830979010834518,0.10052246936791323,0.18744839340524305,True,topk:val_composite_mean:k=4
1,0.07122997048281678,0.05237275477117169,0.06902280249827661,0.12495705579358914,2,4,0.15628992412377135,0.07944566672493367,0.10366231114069613,0.19092247407181837,True,topk:val_composite_mean:k=4
2,0.05128927390520856,0.04723226201938995,0.06396395110597755,0.11376067682062793,3,4,0.2524220373633324,0.0820905300027225,0.10776350803568156,0.20247513990657068,True,topk:val_composite_mean:k=4
3,0.04323214131902433,0.045093295428600744,0.06440182224853834,0.1116567247430903,2,4,0.1548826011521839,0.07147282796967201,0.09799034265837243,0.17720730068565363,True,topk:val_composite_mean:k=4
4,0.08803908643840436,0.06080959199359215,0.0915324259492439,0.15674397226475628,1,4,0.23036793436558994,0.09547808303642372,0.1385681886673175,0.24556466842202068,False,topk:val_composite_mean:k=4
