label,num_rows,re_mean,mae_mean,rmse_mean,all_three_improved_rows,selected_robust_seeds,excluded_seeds,robust_mode,robust_metric,robust_mad_k
all_seeds,20,0.20698309715053437,0.07296857959814215,0.08302741180376459,9,"3,2,0,4",1,topk,val_re_mean,1.0
robust_seeds,16,0.19422358042016297,0.07068506431492065,0.08028306647913713,8,"3,2,0,4",1,topk,val_re_mean,1.0
